Final_text_length,N_keyboard_events,N_keyboard_comb_events,Ratio_combination,N_delete_events,Ratio_delete,N_paste_events,N_copy_events,Ratio_pastes,Length_per_event,start_time,segment_duration,text_state_change,error_rate,average_consecutive_backspaces,cps,average_thinking_time,pause_frequency,is_cheat_segment,title,project_id
67.0,127.0,13.0,0.19402985074626866,5.0,0.07462686567164178,0.0,0.0,0.0,0.4785714285714286,2023-11-21T23:37:04.664Z,33.28000000000001,m wthis so that I can plan what I going to do for thct integation b,0.03937007874015748,2.5,3.8161057692307683,0.6045428571428572,35.0,False,so_actual_work,655d3c01c50d0e315153ec82
60.0,66.0,2.0,0.03333333333333333,3.0,0.05,0.0,0.0,0.0,0.8823529411764706,2023-11-21T23:37:38.883Z,16.842,"

I will need to first setup the python server at port 3005 ",0.045454545454545456,1.5,3.9187744923405776,0.6072941176470588,17.0,False,so_actual_work,655d3c01c50d0e315153ec82
0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:37:58.821Z,2.663,,0.07692307692307693,1.0,4.88171235448742,0.5536666666666666,3.0,False,so_actual_work,655d3c01c50d0e315153ec82
62.0,91.0,0.0,0.0,14.0,0.22580645161290322,0.0,0.0,0.0,0.6813186813186813,2023-11-21T23:38:04.864Z,19.276999999999994,aprils code and my code which both uses normal distrubution to,0.15384615384615385,1.75,4.7206515536649905,0.44295652173913036,23.0,False,so_actual_work,655d3c01c50d0e315153ec82
2.0,14.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.14285714285714285,2023-11-21T23:38:28.827Z,3.3950000000000005,ib,0.07142857142857142,1.0,4.123711340206185,0.7040000000000001,3.0,False,so_actual_work,655d3c01c50d0e315153ec82
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:38:37.739Z,0,,0.0,0.0,0.0,0.0,0.0,False,so_actual_work,655d3c01c50d0e315153ec82
0.0,57.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2023-11-21T23:38:49.404Z,13.115,,0.15789473684210525,2.25,4.346168509340449,0.533357142857143,14.0,False,so_actual_work,655d3c01c50d0e315153ec82
14.0,33.0,0.0,0.0,9.0,0.6428571428571429,0.0,0.0,0.0,0.42424242424242425,2023-11-21T23:39:08.679Z,7.6190000000000015,data resources,0.2727272727272727,9.0,4.33127707048169,0.575375,8.0,False,so_actual_work,655d3c01c50d0e315153ec82
276.0,308.0,2.0,0.007246376811594203,16.0,0.057971014492753624,0.0,0.0,0.0,0.8903225806451613,2023-11-21T23:39:21.396Z,63.64500000000001," By creating multiple metrics about the typing behaviour of the user, we can classify each segment and tell how different each of the segment through out the session to calculate the percentage of likelihood that the assignment is done by a single person or more than 2 people",0.05194805194805195,2.6666666666666665,4.839343231989943,0.47154545454545443,77.0,False,so_actual_work,655d3c01c50d0e315153ec82
62.0,67.0,0.0,0.0,2.0,0.03225806451612903,0.0,0.0,0.0,0.9253731343283582,2023-11-21T23:40:28.196Z,13.846000000000002," so when we have this code, we can start integrating it to the",0.029850746268656716,1.0,4.838942654918387,0.527875,16.0,False,so_actual_work,655d3c01c50d0e315153ec82
